#  i,        z_bin,        no. 
           0      0.00000       0
           1    0.0500000       4
           2     0.100000      58
           3     0.150000     167
           4     0.200000     369
           5     0.250000     451
           6     0.300000     686
           7     0.350000     755
           8     0.400000     778
           9     0.450000     680
          10     0.500000     705
          11     0.550000     701
          12     0.600000     726
          13     0.650000     622
          14     0.700000     609
          15     0.750000     593
          16     0.800000     666
          17     0.850000     657
          18     0.900000     675
          19     0.950000     724
          20      1.00000     813
          21      1.05000     876
          22      1.10000     848
          23      1.15000     905
          24      1.20000    1026
          25      1.25000     932
          26      1.30000     972
          27      1.35000     883
          28      1.40000     890
          29      1.45000    1005
          30      1.50000    1146
          31      1.55000    1068
          32      1.60000     970
          33      1.65000     995
          34      1.70000     965
          35      1.75000     996
          36      1.80000     883
          37      1.85000     874
          38      1.90000     786
          39      1.95000     724
          40      2.00000     573
          41      2.05000     567
          42      2.10000     497
          43      2.15000     470
          44      2.20000     414
          45      2.25000     383
          46      2.30000     293
          47      2.35000     223
          48      2.40000     224
          49      2.45000     184
          50      2.50000       2
          51      2.55000       0
          52      2.60000       0
          53      2.65000       0
          54      2.70000       0
          55      2.75000       0
          56      2.80000       0
          57      2.85000       0
          58      2.90000       0
          59      2.95000       0
          60      3.00000       0
          61      3.05000       0
          62      3.10000       0
          63      3.15000       0
          64      3.20000       0
          65      3.25000       0
          66      3.30000       0
          67      3.35000       0
          68      3.40000       0
          69      3.45000       0
          70      3.50000       0
          71      3.55000       0
          72      3.60000       0
          73      3.65000       0
          74      3.70000       0
          75      3.75000       0
          76      3.80000       0
          77      3.85000       0
          78      3.90000       0
          79      3.95000       0
          80      4.00000       0
          81      4.05000       0
          82      4.10000       0
          83      4.15000       0
          84      4.20000       0
          85      4.25000       0
          86      4.30000       0
          87      4.35000       0
          88      4.40000       0
          89      4.45000       0
          90      4.50000       0
          91      4.55000       0
          92      4.60000       0
          93      4.65000       0
          94      4.70000       0
          95      4.75000       0
          96      4.80000       0
          97      4.85000       0
          98      4.90000       0
          99      4.95000       0
