   0   0 371402.25000000     609.42779541
   1   1  13291.57910156     115.28910828
   2   2   1340.95971680      36.61911774
   3   3   1736.03161621      41.66571426
   4   4   1202.58264160      34.67827225
   5   5    314.57681274      17.73631287
   6   6    126.46755981      11.24577999
   7   7     38.28832626       6.18775606
   8   8      9.63259125       3.10364151
   9   9      7.44775248       2.72905707
  10  10      2.68401980       1.63829780
  11  11      0.93648833       0.96772325
  12  12      0.79511154       0.89169025
  13  13      0.16658507       0.40814835
